participant,condition,accuracy_mean,hdi_2.5%,hdi_97.5%
1,standard,0.8148656130145403,0.7734855354502025,0.8540101676399924
1,hard,0.738222067309182,0.6865105005019964,0.7889754213575241
2,standard,0.7460932649846183,0.6972028784204019,0.7927943376948035
2,hard,0.6346931056480075,0.5722813807180083,0.6925989618277276
3,standard,0.5791657385974901,0.5156856564782827,0.6367596176418062
3,hard,0.4240727182781307,0.3604482911543242,0.4863645600445681
4,standard,0.7424879103153781,0.6930553378667028,0.7897778791307847
4,hard,0.6228943398445818,0.5635184779781952,0.6824174271851037
5,standard,0.7760732583420064,0.7298123732164834,0.8197975174182093
5,hard,0.645731014128813,0.5838946357076139,0.7025643088726882
6,standard,0.6874461339151073,0.6356892076442675,0.7409250825069664
6,hard,0.5650101578972401,0.5038260525342718,0.6272433494839205
7,standard,0.7833861229423713,0.7406948608393982,0.8262812938174232
7,hard,0.6713442182460633,0.6129070858553143,0.7267924927709579
8,standard,0.661968740518511,0.6060333249114843,0.7209699607769643
8,hard,0.5277850365904742,0.461147114002149,0.5910713151807261
9,standard,0.7339628211788789,0.6845939414089995,0.783242609369031
9,hard,0.6138120768152233,0.5519494531488066,0.6739726738413296
10,standard,0.7065327978434157,0.6533046858774011,0.7582952968091128
10,hard,0.6097775990007326,0.5495088235484948,0.6717478822333354
11,standard,0.5801328616390685,0.5188920444365017,0.640626850111775
11,hard,0.418091506966592,0.35897248070503945,0.48522435231070987
12,standard,0.6565634645071734,0.6013570406724903,0.7115407624677149
12,hard,0.5403201772669204,0.47754849288845697,0.6046260886280327
13,standard,0.6858975768983679,0.6308836615164745,0.7360212594149977
13,hard,0.5600378069496819,0.49736440534134335,0.621629846182537
14,standard,0.7552012448104911,0.7066828932100769,0.8011391819138137
14,hard,0.6539814348526026,0.5935160049132058,0.709558861135657
15,standard,0.7550307324338978,0.7081312276464914,0.8020011009770494
15,hard,0.6356661438628649,0.5758930290421858,0.6930513919350729
16,standard,0.6845346197375688,0.6289962701208556,0.7401132664973524
16,hard,0.523691463921637,0.45897634229356676,0.5908569161426076
17,standard,0.732190360365257,0.6822037744250223,0.7810137139864967
17,hard,0.600894728210869,0.5388278062903101,0.6634485440105471
18,standard,0.7879418048969187,0.7420964138492023,0.8307018583863546
18,hard,0.681037657114169,0.6233666072537765,0.7380686262232338
19,standard,0.7685441214819329,0.72117631510142,0.8128553949274361
19,hard,0.667138590466308,0.607402399422432,0.7228202719899397
20,standard,0.6693969701454735,0.6122328628116612,0.7213073381954695
20,hard,0.5448377876379946,0.4818969372938512,0.6098973740399222
21,standard,0.6852719761738212,0.6320797660224471,0.7378435780117971
21,hard,0.5720288423878096,0.5140465054715557,0.637845581875386
22,standard,0.6295473589574386,0.5712540138798268,0.6878829955859044
22,hard,0.5159260586400902,0.452405086821651,0.5816510046109995
23,standard,0.6291809789565418,0.5731325722839781,0.6866294979455257
23,hard,0.4980892454984405,0.43946279075420724,0.5643155816793345
24,standard,0.6219254758530647,0.5621144667243999,0.6785949507367001
24,hard,0.4959348097685214,0.4284426248496602,0.5550994849081262
25,standard,0.7505547814823247,0.7024126394036135,0.7985751176913936
25,hard,0.6661638172775256,0.6070069347920859,0.7258948598871219
26,standard,0.7531731887917642,0.7056444782306567,0.7997142337821821
26,hard,0.6342267110183686,0.5767708264780237,0.69407143931123
27,standard,0.44315547732384186,0.38237745860642786,0.5103827717838295
27,hard,0.343857229026895,0.281059713960118,0.40028826758103625
28,standard,0.6233612082424563,0.5673328880227719,0.6837481474964832
28,hard,0.4833553065140122,0.42254722572628,0.5478154960554102
29,standard,0.6365635289018048,0.5811407138477559,0.6935962948554774
29,hard,0.508880355598782,0.4456727841451031,0.5719889672839539
30,standard,0.6136913930215059,0.5536996128140844,0.6705708743972024
30,hard,0.4863112130627591,0.4240420382677528,0.5492360518186479
31,standard,0.6950397163852661,0.6362614667885834,0.7499416295257976
31,hard,0.5267316876187282,0.45839541176532406,0.5951271973632486
32,standard,0.6018831554690796,0.5407296613405981,0.659795012252628
32,hard,0.4494180855556772,0.38323335285960763,0.5119971675062321
33,standard,0.5742033764444132,0.514186138724762,0.6356575476760015
33,hard,0.4300077557511298,0.3693662612004399,0.4935293017920922
34,standard,0.8512242966862821,0.8144974122027363,0.8846076747575196
34,hard,0.7947339958418392,0.7497645111769834,0.8428233098495705
35,standard,0.6319464000606922,0.5723588691974527,0.6885901716042423
35,hard,0.5102201935505559,0.44678903755239113,0.5733391995641232
36,standard,0.6182614250820961,0.5611518456833935,0.6755353710073574
36,hard,0.4865601387448048,0.4193046727724169,0.5456067351995426
37,standard,0.6310222189076399,0.5719534637629226,0.6877628122918177
37,hard,0.5102164678304102,0.4489655804255898,0.5767298984802817
38,standard,0.655336216802321,0.5987527482344627,0.711867547084573
38,hard,0.5356399573134234,0.4744736654170701,0.6019119128637638
39,standard,0.8347492162349611,0.7989738296842743,0.8724132373072142
39,hard,0.7439591842605814,0.6949542114734638,0.7948221191070537
40,standard,0.6922400492127594,0.6377770246138683,0.749974585827036
40,hard,0.5263732763320436,0.46256218702594043,0.5933912512347235
