participant,condition,n_trials,n_correct,accuracy,posterior_mean,ci95_low,ci95_high
1,hard,500,381,0.762,0.7614770459081837,0.7232328158851247,0.7977441661296641
1,standard,500,404,0.808,0.8073852295409182,0.7717554211772694,0.8406911133800665
2,hard,500,319,0.638,0.6377245508982036,0.5951771842746547,0.6792303616660507
2,standard,500,374,0.748,0.7475049900199601,0.7085898307731322,0.7845486303360367
3,hard,500,199,0.398,0.39820359281437123,0.3557852215048133,0.441391827052671
3,standard,500,294,0.588,0.5878243512974052,0.5444526432196902,0.6305318595271
4,hard,500,308,0.616,0.6157684630738522,0.5728001452080635,0.6578612573344851
4,standard,500,374,0.748,0.7475049900199601,0.7085898307731322,0.7845486303360367
5,hard,500,307,0.614,0.6137724550898204,0.5707704638831385,0.6559140169100218
5,standard,500,404,0.808,0.8073852295409182,0.7717554211772694,0.8406911133800665
6,hard,500,284,0.568,0.5678642714570858,0.5242925112718981,0.6109227824286507
6,standard,500,340,0.68,0.6796407185628742,0.6381646377294062,0.7197583002266069
7,hard,500,331,0.662,0.6616766467065869,0.6196971223729995,0.702433499546258
7,standard,500,401,0.802,0.8013972055888223,0.7653874740903892,0.8351282351506744
8,hard,500,261,0.522,0.5219560878243513,0.4781950052877542,0.5655511175289594
8,standard,500,331,0.662,0.6616766467065869,0.6196971223729995,0.702433499546258
9,hard,500,304,0.608,0.6077844311377245,0.5646859458216547,0.6500677700585688
9,standard,500,370,0.74,0.7395209580838323,0.7002460254321596,0.7769847153410021
10,hard,500,321,0.642,0.6417165668662674,0.599255845553545,0.6831055455522357
10,standard,500,337,0.674,0.6736526946107785,0.6320012164732587,0.7139909484908882
11,hard,500,193,0.386,0.38622754491017963,0.3440859830899781,0.42922953611686154
11,standard,500,298,0.596,0.5958083832335329,0.5525370922429879,0.6383550952028805
12,hard,500,279,0.558,0.5578842315369261,0.5142394344580312,0.6010912559161243
12,standard,500,315,0.63,0.6297405189620758,0.5870292664474545,0.6714705900481027
13,hard,500,280,0.56,0.5598802395209581,0.5162486216081177,0.6030589893768494
13,standard,500,341,0.682,0.6816367265469062,0.6402208234299884,0.7216790390906596
14,hard,500,333,0.666,0.6656686626746507,0.6237951531347705,0.706289316052573
14,standard,500,374,0.748,0.7475049900199601,0.7085898307731322,0.7845486303360367
15,hard,500,313,0.626,0.625748502994012,0.5829599667530636,0.667586045436598
15,standard,500,384,0.768,0.7674650698602794,0.7295251114850421,0.803382669732266
16,hard,500,240,0.48,0.48003992015968067,0.4364300102156926,0.5238007872529593
16,standard,500,360,0.72,0.719560878243513,0.6794577643118724,0.7580036914192954
17,hard,500,291,0.582,0.5818363273453094,0.5383969917455371,0.6246567479089171
17,standard,500,376,0.752,0.7514970059880239,0.7127680877311291,0.7883242350859065
18,hard,500,338,0.676,0.6756487025948104,0.6340548384203675,0.715914250759941
18,standard,500,401,0.802,0.8013972055888223,0.7653874740903892,0.8351282351506744
19,hard,500,338,0.676,0.6756487025948104,0.6340548384203675,0.715914250759941
19,standard,500,384,0.768,0.7674650698602794,0.7295251114850421,0.803382669732266
20,hard,500,275,0.55,0.5499001996007984,0.5062097962857846,0.5932132118887641
20,standard,500,329,0.658,0.6576846307385229,0.615602386342786,0.6985743886984397
21,hard,500,294,0.588,0.5878243512974052,0.5444526432196902,0.6305318595271
21,standard,500,334,0.668,0.6676646706586826,0.6258454130939206,0.708215979879151
22,hard,500,270,0.54,0.5399201596806387,0.4961886800479495,0.5833497258556597
22,standard,500,297,0.594,0.593812375249501,0.5505148771901357,0.6364003890158398
23,hard,500,249,0.498,0.49800399201596807,0.454291600906034,0.5417314788546176
23,standard,500,309,0.618,0.6177644710578842,0.5748305844783688,0.6598077398717019
24,hard,500,252,0.504,0.5039920159680639,0.4602580278478126,0.5476958126317195
24,standard,500,299,0.598,0.5978043912175649,0.5545600453572466,0.6403090633738779
25,hard,500,351,0.702,0.7015968063872255,0.6608308997496193,0.7408382155591592
25,standard,500,361,0.722,0.7215568862275449,0.6815321491973947,0.7599062341236265
26,hard,500,313,0.626,0.625748502994012,0.5829599667530636,0.667586045436598
26,standard,500,382,0.764,0.7634730538922155,0.7253291068042127,0.799624807954846
27,hard,500,192,0.384,0.3842315369261477,0.3421387426655147,0.42719985479193645
27,standard,500,184,0.368,0.36826347305389223,0.32658829840846626,0.4109349228412245
28,hard,500,237,0.474,0.4740518962075848,0.43048872656226544,0.5178113100217308
28,standard,500,310,0.62,0.6197604790419161,0.5768617839434276,0.6617534622736896
29,hard,500,257,0.514,0.5139720558882236,0.4702160302117311,0.5576224115104591
