participant,session,condition,n_trials,n_correct
1,1,standard,100,77
1,1,hard,100,75
1,2,standard,100,80
1,2,hard,100,74
1,3,standard,100,83
1,3,hard,100,79
1,4,standard,100,88
1,4,hard,100,75
1,5,standard,100,76
1,5,hard,100,78
2,1,standard,100,81
2,1,hard,100,61
2,2,standard,100,71
2,2,hard,100,64
2,3,standard,100,77
2,3,hard,100,71
2,4,standard,100,71
2,4,hard,100,66
2,5,standard,100,74
2,5,hard,100,57
3,1,standard,100,54
3,1,hard,100,31
3,2,standard,100,71
3,2,hard,100,48
3,3,standard,100,53
3,3,hard,100,28
3,4,standard,100,60
3,4,hard,100,44
3,5,standard,100,56
3,5,hard,100,48
4,1,standard,100,76
4,1,hard,100,46
4,2,standard,100,70
4,2,hard,100,71
4,3,standard,100,89
4,3,hard,100,61
4,4,standard,100,76
4,4,hard,100,56
4,5,standard,100,63
4,5,hard,100,74
5,1,standard,100,75
5,1,hard,100,54
5,2,standard,100,82
5,2,hard,100,73
5,3,standard,100,74
5,3,hard,100,70
5,4,standard,100,92
5,4,hard,100,52
5,5,standard,100,81
5,5,hard,100,58
6,1,standard,100,77
6,1,hard,100,52
6,2,standard,100,78
6,2,hard,100,57
6,3,standard,100,66
6,3,hard,100,63
6,4,standard,100,62
6,4,hard,100,78
6,5,standard,100,57
6,5,hard,100,34
7,1,standard,100,82
7,1,hard,100,68
7,2,standard,100,80
7,2,hard,100,66
7,3,standard,100,78
7,3,hard,100,68
7,4,standard,100,75
7,4,hard,100,69
7,5,standard,100,86
7,5,hard,100,60
8,1,standard,100,58
8,1,hard,100,55
8,2,standard,100,81
8,2,hard,100,52
8,3,standard,100,66
8,3,hard,100,49
8,4,standard,100,62
8,4,hard,100,55
8,5,standard,100,64
8,5,hard,100,50
9,1,standard,100,65
9,1,hard,100,61
9,2,standard,100,75
9,2,hard,100,52
9,3,standard,100,79
9,3,hard,100,71
9,4,standard,100,85
9,4,hard,100,49
9,5,standard,100,66
9,5,hard,100,71
10,1,standard,100,58
10,1,hard,100,63
10,2,standard,100,76
10,2,hard,100,64
10,3,standard,100,54
10,3,hard,100,68
10,4,standard,100,82
10,4,hard,100,58
10,5,standard,100,67
10,5,hard,100,68
11,1,standard,100,68
11,1,hard,100,31
11,2,standard,100,57
11,2,hard,100,37
11,3,standard,100,44
11,3,hard,100,43
11,4,standard,100,63
11,4,hard,100,25
11,5,standard,100,66
11,5,hard,100,57
12,1,standard,100,82
12,1,hard,100,51
12,2,standard,100,67
12,2,hard,100,55
12,3,standard,100,62
12,3,hard,100,54
12,4,standard,100,47
12,4,hard,100,56
12,5,standard,100,57
12,5,hard,100,63
13,1,standard,100,57
13,1,hard,100,46
13,2,standard,100,67
13,2,hard,100,56
13,3,standard,100,73
13,3,hard,100,59
13,4,standard,100,76
13,4,hard,100,48
13,5,standard,100,68
13,5,hard,100,71
14,1,standard,100,82
14,1,hard,100,70
14,2,standard,100,78
14,2,hard,100,59
14,3,standard,100,63
14,3,hard,100,56
14,4,standard,100,79
14,4,hard,100,74
14,5,standard,100,72
14,5,hard,100,74
15,1,standard,100,82
15,1,hard,100,63
15,2,standard,100,72
15,2,hard,100,59
15,3,standard,100,71
15,3,hard,100,70
15,4,standard,100,83
15,4,hard,100,47
15,5,standard,100,76
15,5,hard,100,74
16,1,standard,100,64
16,1,hard,100,60
16,2,standard,100,67
16,2,hard,100,60
16,3,standard,100,80
16,3,hard,100,54
16,4,standard,100,76
16,4,hard,100,32
16,5,standard,100,73
16,5,hard,100,34
17,1,standard,100,79
17,1,hard,100,46
17,2,standard,100,73
17,2,hard,100,52
17,3,standard,100,74
17,3,hard,100,69
17,4,standard,100,76
17,4,hard,100,57
17,5,standard,100,74
17,5,hard,100,67
18,1,standard,100,86
18,1,hard,100,63
18,2,standard,100,84
18,2,hard,100,67
18,3,standard,100,73
18,3,hard,100,66
18,4,standard,100,81
18,4,hard,100,71
18,5,standard,100,77
18,5,hard,100,71
19,1,standard,100,87
19,1,hard,100,76
19,2,standard,100,80
19,2,hard,100,68
19,3,standard,100,74
19,3,hard,100,52
19,4,standard,100,69
19,4,hard,100,72
19,5,standard,100,74
19,5,hard,100,70
20,1,standard,100,73
20,1,hard,100,50
20,2,standard,100,70
20,2,hard,100,55
20,3,standard,100,65
20,3,hard,100,44
20,4,standard,100,72
20,4,hard,100,68
20,5,standard,100,49
20,5,hard,100,58
21,1,standard,100,70
21,1,hard,100,56
21,2,standard,100,62
21,2,hard,100,54
21,3,standard,100,56
21,3,hard,100,60
21,4,standard,100,77
21,4,hard,100,58
21,5,standard,100,69
21,5,hard,100,66
22,1,standard,100,69
22,1,hard,100,55
22,2,standard,100,72
22,2,hard,100,53
22,3,standard,100,47
22,3,hard,100,51
22,4,standard,100,52
22,4,hard,100,59
22,5,standard,100,57
22,5,hard,100,52
23,1,standard,100,66
23,1,hard,100,52
23,2,standard,100,59
23,2,hard,100,52
23,3,standard,100,59
23,3,hard,100,49
23,4,standard,100,50
23,4,hard,100,53
23,5,standard,100,75
23,5,hard,100,43
24,1,standard,100,38
24,1,hard,100,57
24,2,standard,100,60
24,2,hard,100,45
24,3,standard,100,75
24,3,hard,100,38
24,4,standard,100,51
24,4,hard,100,56
24,5,standard,100,75
24,5,hard,100,56
25,1,standard,100,63
25,1,hard,100,65
25,2,standard,100,79
25,2,hard,100,72
25,3,standard,100,79
25,3,hard,100,78
25,4,standard,100,73
25,4,hard,100,69
25,5,standard,100,67
25,5,hard,100,67
26,1,standard,100,79
26,1,hard,100,69
26,2,standard,100,79
26,2,hard,100,60
26,3,standard,100,81
26,3,hard,100,64
26,4,standard,100,63
26,4,hard,100,66
26,5,standard,100,80
26,5,hard,100,54
27,1,standard,100,39
27,1,hard,100,47
27,2,standard,100,34
27,2,hard,100,28
27,3,standard,100,36
27,3,hard,100,41
27,4,standard,100,36
27,4,hard,100,28
27,5,standard,100,39
27,5,hard,100,48
28,1,standard,100,58
28,1,hard,100,46
28,2,standard,100,70
28,2,hard,100,51
28,3,standard,100,54
28,3,hard,100,51
28,4,standard,100,65
28,4,hard,100,45
28,5,standard,100,63
28,5,hard,100,44
29,1,standard,100,72
29,1,hard,100,58
29,2,standard,100,67
29,2,hard,100,51
29,3,standard,100,56
29,3,hard,100,57
29,4,standard,100,53
29,4,hard,100,52
29,5,standard,100,63
29,5,hard,100,39
30,1,standard,100,58
30,1,hard,100,41
30,2,standard,100,47
30,2,hard,100,49
30,3,standard,100,68
30,3,hard,100,53
30,4,standard,100,64
30,4,hard,100,48
30,5,standard,100,59
30,5,hard,100,56
31,1,standard,100,71
31,1,hard,100,47
31,2,standard,100,81
31,2,hard,100,42
31,3,standard,100,67
31,3,hard,100,59
31,4,standard,100,70
31,4,hard,100,37
31,5,standard,100,82
31,5,hard,100,50
32,1,standard,100,58
32,1,hard,100,55
32,2,standard,100,66
32,2,hard,100,38
32,3,standard,100,42
32,3,hard,100,34
32,4,standard,100,78
32,4,hard,100,50
32,5,standard,100,60
32,5,hard,100,36
33,1,standard,100,52
33,1,hard,100,39
33,2,standard,100,51
33,2,hard,100,33
33,3,standard,100,46
33,3,hard,100,50
33,4,standard,100,62
33,4,hard,100,49
33,5,standard,100,73
33,5,hard,100,38
34,1,standard,100,87
34,1,hard,100,83
34,2,standard,100,86
34,2,hard,100,91
34,3,standard,100,81
34,3,hard,100,88
34,4,standard,100,88
34,4,hard,100,67
34,5,standard,100,78
34,5,hard,100,83
35,1,standard,100,60
35,1,hard,100,42
35,2,standard,100,61
35,2,hard,100,55
35,3,standard,100,74
35,3,hard,100,69
35,4,standard,100,57
35,4,hard,100,43
35,5,standard,100,52
35,5,hard,100,52
36,1,standard,100,52
36,1,hard,100,51
36,2,standard,100,70
36,2,hard,100,54
36,3,standard,100,59
36,3,hard,100,48
36,4,standard,100,62
36,4,hard,100,43
36,5,standard,100,60
