participant,session,condition,trial,correct
1,1,standard,1,1
1,1,standard,2,1
1,1,standard,3,1
1,1,standard,4,1
1,1,standard,5,0
1,1,standard,6,1
1,1,standard,7,1
1,1,standard,8,0
1,1,standard,9,0
1,1,standard,10,1
1,1,standard,11,1
1,1,standard,12,1
1,1,standard,13,1
1,1,standard,14,0
1,1,standard,15,1
1,1,standard,16,0
1,1,standard,17,0
1,1,standard,18,1
1,1,standard,19,0
1,1,standard,20,1
1,1,standard,21,0
1,1,standard,22,1
1,1,standard,23,1
1,1,standard,24,1
1,1,standard,25,0
1,1,standard,26,1
1,1,standard,27,1
1,1,standard,28,1
1,1,standard,29,1
1,1,standard,30,0
1,1,standard,31,1
1,1,standard,32,1
1,1,standard,33,1
1,1,standard,34,1
1,1,standard,35,1
1,1,standard,36,1
1,1,standard,37,0
1,1,standard,38,1
1,1,standard,39,1
1,1,standard,40,1
1,1,standard,41,0
1,1,standard,42,1
1,1,standard,43,1
1,1,standard,44,1
1,1,standard,45,0
1,1,standard,46,0
1,1,standard,47,1
1,1,standard,48,1
1,1,standard,49,1
1,1,standard,50,0
1,1,standard,51,1
1,1,standard,52,1
1,1,standard,53,1
1,1,standard,54,0
1,1,standard,55,1
1,1,standard,56,0
1,1,standard,57,1
1,1,standard,58,1
1,1,standard,59,1
1,1,standard,60,1
1,1,standard,61,1
1,1,standard,62,0
1,1,standard,63,1
1,1,standard,64,1
1,1,standard,65,1
1,1,standard,66,1
1,1,standard,67,1
1,1,standard,68,1
1,1,standard,69,1
1,1,standard,70,1
1,1,standard,71,0
1,1,standard,72,0
1,1,standard,73,1
1,1,standard,74,1
1,1,standard,75,1
1,1,standard,76,1
1,1,standard,77,1
1,1,standard,78,1
1,1,standard,79,1
1,1,standard,80,1
1,1,standard,81,1
1,1,standard,82,1
1,1,standard,83,1
1,1,standard,84,1
1,1,standard,85,1
1,1,standard,86,1
1,1,standard,87,1
1,1,standard,88,1
1,1,standard,89,1
1,1,standard,90,1
1,1,standard,91,1
1,1,standard,92,1
1,1,standard,93,1
1,1,standard,94,1
1,1,standard,95,0
1,1,standard,96,1
1,1,standard,97,1
1,1,standard,98,0
1,1,standard,99,1
1,1,standard,100,0
1,1,hard,1,1
1,1,hard,2,0
1,1,hard,3,1
1,1,hard,4,0
1,1,hard,5,1
1,1,hard,6,1
1,1,hard,7,0
1,1,hard,8,1
1,1,hard,9,0
1,1,hard,10,1
1,1,hard,11,1
1,1,hard,12,0
1,1,hard,13,1
1,1,hard,14,1
1,1,hard,15,1
1,1,hard,16,0
1,1,hard,17,0
1,1,hard,18,1
1,1,hard,19,0
1,1,hard,20,0
1,1,hard,21,1
1,1,hard,22,0
1,1,hard,23,1
1,1,hard,24,1
1,1,hard,25,1
1,1,hard,26,1
1,1,hard,27,1
1,1,hard,28,0
1,1,hard,29,1
1,1,hard,30,1
1,1,hard,31,1
1,1,hard,32,1
1,1,hard,33,1
1,1,hard,34,0
1,1,hard,35,1
1,1,hard,36,1
1,1,hard,37,1
1,1,hard,38,0
1,1,hard,39,1
1,1,hard,40,0
1,1,hard,41,1
1,1,hard,42,1
1,1,hard,43,1
1,1,hard,44,1
1,1,hard,45,0
1,1,hard,46,0
1,1,hard,47,1
1,1,hard,48,1
1,1,hard,49,0
1,1,hard,50,1
1,1,hard,51,1
1,1,hard,52,1
1,1,hard,53,1
1,1,hard,54,1
1,1,hard,55,1
1,1,hard,56,0
1,1,hard,57,1
1,1,hard,58,1
1,1,hard,59,1
1,1,hard,60,1
1,1,hard,61,0
1,1,hard,62,1
1,1,hard,63,0
1,1,hard,64,1
1,1,hard,65,0
1,1,hard,66,1
1,1,hard,67,0
1,1,hard,68,1
1,1,hard,69,1
1,1,hard,70,1
1,1,hard,71,0
1,1,hard,72,1
1,1,hard,73,1
1,1,hard,74,0
1,1,hard,75,1
1,1,hard,76,1
1,1,hard,77,1
1,1,hard,78,1
1,1,hard,79,1
1,1,hard,80,1
1,1,hard,81,1
1,1,hard,82,1
1,1,hard,83,1
1,1,hard,84,1
1,1,hard,85,1
1,1,hard,86,1
1,1,hard,87,1
1,1,hard,88,0
1,1,hard,89,1
1,1,hard,90,1
1,1,hard,91,1
1,1,hard,92,1
1,1,hard,93,1
1,1,hard,94,1
1,1,hard,95,1
1,1,hard,96,1
1,1,hard,97,1
1,1,hard,98,1
1,1,hard,99,1
1,1,hard,100,1
1,2,standard,1,1
1,2,standard,2,1
1,2,standard,3,0
1,2,standard,4,0
1,2,standard,5,1
1,2,standard,6,0
1,2,standard,7,1
1,2,standard,8,1
1,2,standard,9,1
1,2,standard,10,1
1,2,standard,11,1
1,2,standard,12,1
1,2,standard,13,1
1,2,standard,14,1
1,2,standard,15,1
1,2,standard,16,1
1,2,standard,17,0
1,2,standard,18,0
1,2,standard,19,1
1,2,standard,20,1
1,2,standard,21,1
1,2,standard,22,1
1,2,standard,23,1
1,2,standard,24,0
1,2,standard,25,1
1,2,standard,26,1
1,2,standard,27,0
1,2,standard,28,0
1,2,standard,29,1
1,2,standard,30,1
1,2,standard,31,0
1,2,standard,32,1
1,2,standard,33,1
1,2,standard,34,0
1,2,standard,35,0
1,2,standard,36,1
1,2,standard,37,1
1,2,standard,38,1
1,2,standard,39,1
1,2,standard,40,1
1,2,standard,41,1
1,2,standard,42,1
1,2,standard,43,0
1,2,standard,44,1
1,2,standard,45,1
1,2,standard,46,1
1,2,standard,47,0
1,2,standard,48,1
1,2,standard,49,1
1,2,standard,50,1
1,2,standard,51,1
1,2,standard,52,0
1,2,standard,53,0
1,2,standard,54,1
1,2,standard,55,1
1,2,standard,56,1
1,2,standard,57,1
1,2,standard,58,1
1,2,standard,59,1
1,2,standard,60,1
1,2,standard,61,1
1,2,standard,62,1
1,2,standard,63,1
1,2,standard,64,1
1,2,standard,65,1
1,2,standard,66,1
1,2,standard,67,1
1,2,standard,68,1
1,2,standard,69,1
1,2,standard,70,1
1,2,standard,71,1
1,2,standard,72,0
1,2,standard,73,1
1,2,standard,74,1
1,2,standard,75,1
1,2,standard,76,1
1,2,standard,77,1
1,2,standard,78,1
1,2,standard,79,1
1,2,standard,80,1
1,2,standard,81,1
1,2,standard,82,1
1,2,standard,83,1
1,2,standard,84,1
1,2,standard,85,0
1,2,standard,86,0
1,2,standard,87,1
1,2,standard,88,1
1,2,standard,89,1
1,2,standard,90,1
1,2,standard,91,1
1,2,standard,92,1
1,2,standard,93,1
1,2,standard,94,1
1,2,standard,95,0
1,2,standard,96,0
1,2,standard,97,1
1,2,standard,98,1
1,2,standard,99,1
1,2,standard,100,1
1,2,hard,1,1
1,2,hard,2,1
1,2,hard,3,0
1,2,hard,4,0
1,2,hard,5,0
1,2,hard,6,1
1,2,hard,7,0
1,2,hard,8,1
1,2,hard,9,1
1,2,hard,10,1
1,2,hard,11,1
1,2,hard,12,0
1,2,hard,13,1
1,2,hard,14,1
1,2,hard,15,1
1,2,hard,16,0
1,2,hard,17,1
1,2,hard,18,1
1,2,hard,19,1
1,2,hard,20,1
1,2,hard,21,1
1,2,hard,22,1
1,2,hard,23,1
1,2,hard,24,1
1,2,hard,25,0
1,2,hard,26,0
1,2,hard,27,1
1,2,hard,28,1
1,2,hard,29,1
1,2,hard,30,1
1,2,hard,31,1
1,2,hard,32,0
1,2,hard,33,1
1,2,hard,34,1
1,2,hard,35,1
1,2,hard,36,1
1,2,hard,37,1
1,2,hard,38,1
1,2,hard,39,1
1,2,hard,40,1
1,2,hard,41,1
1,2,hard,42,1
1,2,hard,43,0
1,2,hard,44,0
1,2,hard,45,1
1,2,hard,46,0
1,2,hard,47,0
1,2,hard,48,1
1,2,hard,49,1
1,2,hard,50,1
1,2,hard,51,1
1,2,hard,52,1
1,2,hard,53,1
1,2,hard,54,1
1,2,hard,55,1
1,2,hard,56,1
1,2,hard,57,1
1,2,hard,58,0
1,2,hard,59,1
1,2,hard,60,1
1,2,hard,61,1
1,2,hard,62,1
1,2,hard,63,0
1,2,hard,64,1
1,2,hard,65,1
1,2,hard,66,0
1,2,hard,67,1
1,2,hard,68,1
1,2,hard,69,0
1,2,hard,70,1
1,2,hard,71,1
1,2,hard,72,1
1,2,hard,73,1
1,2,hard,74,0
1,2,hard,75,1
1,2,hard,76,1
1,2,hard,77,1
1,2,hard,78,0
1,2,hard,79,1
1,2,hard,80,0
1,2,hard,81,0
1,2,hard,82,1
1,2,hard,83,1
1,2,hard,84,1
1,2,hard,85,1
1,2,hard,86,1
1,2,hard,87,0
1,2,hard,88,1
1,2,hard,89,1
1,2,hard,90,0
1,2,hard,91,1
1,2,hard,92,0
1,2,hard,93,1
1,2,hard,94,1
1,2,hard,95,1
1,2,hard,96,1
1,2,hard,97,0
1,2,hard,98,1
1,2,hard,99,0
1,2,hard,100,1
1,3,standard,1,0
1,3,standard,2,1
1,3,standard,3,1
1,3,standard,4,1
1,3,standard,5,1
1,3,standard,6,1
1,3,standard,7,0
1,3,standard,8,1
1,3,standard,9,1
1,3,standard,10,1
1,3,standard,11,0
1,3,standard,12,1
1,3,standard,13,1
1,3,standard,14,1
1,3,standard,15,1
1,3,standard,16,0
1,3,standard,17,1
1,3,standard,18,1
1,3,standard,19,1
