participant,session,condition,p_true
1,1,standard,0.7824312818419491
1,1,hard,0.7701680874695943
1,2,standard,0.8211491239370008
1,2,hard,0.7425725685098508
1,3,standard,0.8094427659837847
1,3,hard,0.8334079164192618
1,4,standard,0.8281851865579443
1,4,hard,0.7173086751710578
1,5,standard,0.8051883965580745
1,5,hard,0.7703046265371772
2,1,standard,0.7748460093966129
2,1,hard,0.5842959862393433
2,2,standard,0.7424143182348282
2,2,hard,0.6243864942204211
2,3,standard,0.8404867659928508
2,3,hard,0.6501237179325473
2,4,standard,0.6923575652146396
2,4,hard,0.7242721694556251
2,5,standard,0.6872670903802276
2,5,hard,0.5694315374104684
3,1,standard,0.5928857834143936
3,1,hard,0.3457313813702249
3,2,standard,0.7258040342953478
3,2,hard,0.4325547201200183
3,3,standard,0.516560145181576
3,3,hard,0.2861850299899419
3,4,standard,0.5822421903938547
3,4,hard,0.4815270923239246
3,5,standard,0.5501280951904362
3,5,hard,0.42653629091146195
4,1,standard,0.7364932264830661
4,1,hard,0.49184108244033553
4,2,standard,0.751393911702921
4,2,hard,0.7003097663592863
4,3,standard,0.8742632783543632
4,3,hard,0.5747953874188474
4,4,standard,0.7507743454680311
4,4,hard,0.5576053253168667
4,5,standard,0.6478265766066609
4,5,hard,0.6970865606537759
5,1,standard,0.6866869804848876
5,1,hard,0.5541571607349077
5,2,standard,0.8238214796399786
5,2,hard,0.779218387139877
5,3,standard,0.8053441330654891
5,3,hard,0.6059053250290491
5,4,standard,0.8397121417092392
5,4,hard,0.6020238331317191
5,5,standard,0.8134663529264248
5,5,hard,0.5405062704546045
6,1,standard,0.7152246571937868
6,1,hard,0.5432235197463449
6,2,standard,0.7119790197394863
6,2,hard,0.5940662659061017
6,3,standard,0.688170595295197
6,3,hard,0.633821967481573
6,4,standard,0.6519142196544079
6,4,hard,0.6966852916201295
6,5,standard,0.5385901703304037
6,5,hard,0.350582197152833
7,1,standard,0.7917791639991733
7,1,hard,0.7019259457856879
7,2,standard,0.8021434612426537
7,2,hard,0.6541007630432858
7,3,standard,0.8346438354588335
7,3,hard,0.6535693308177224
7,4,standard,0.7433681755941245
7,4,hard,0.6775688887884455
7,5,standard,0.8077471061553321
7,5,hard,0.619546810438765
8,1,standard,0.6163586668613167
8,1,hard,0.4738149668125855
8,2,standard,0.870704971762117
8,2,hard,0.5255305216487139
8,3,standard,0.6893702282770009
8,3,hard,0.5025024478833161
8,4,standard,0.6322632548451468
8,4,hard,0.6113210229919028
8,5,standard,0.6042566849761973
8,5,hard,0.5690180748427579
9,1,standard,0.7341274041058814
9,1,hard,0.5953207294598771
9,2,standard,0.7118293893893647
9,2,hard,0.6208243935977319
9,3,standard,0.7830527338124699
9,3,hard,0.6646505461162965
9,4,standard,0.8538881911913083
9,4,hard,0.5139327624296459
9,5,standard,0.6771374670108854
9,5,hard,0.6672747954732386
10,1,standard,0.5393729173705122
10,1,hard,0.6988549596538417
10,2,standard,0.7618510836454643
10,2,hard,0.586522311270808
10,3,standard,0.5746394597276638
10,3,hard,0.5542972936419306
10,4,standard,0.7150100716660065
10,4,hard,0.5900603366311021
10,5,standard,0.6698134065488636
10,5,hard,0.5967667292868104
11,1,standard,0.669814206907694
11,1,hard,0.37584646430768687
11,2,standard,0.5688121243028701
11,2,hard,0.37566058538913844
11,3,standard,0.49933813207575817
11,3,hard,0.48447469723956
11,4,standard,0.6222408084401104
11,4,hard,0.338994595756662
11,5,standard,0.630246634469539
11,5,hard,0.6219341524338073
12,1,standard,0.714779779010336
12,1,hard,0.4568223316430554
12,2,standard,0.7302910104976106
12,2,hard,0.4926135555360689
12,3,standard,0.6324103452689749
12,3,hard,0.5697904741396606
12,4,standard,0.4884753494491784
12,4,hard,0.5526598460156714
12,5,standard,0.5907117279157202
12,5,hard,0.5741770520643998
13,1,standard,0.5793402797442719
13,1,hard,0.5338236819950091
13,2,standard,0.7208965797855729
13,2,hard,0.5384629367807559
13,3,standard,0.735906726705009
13,3,hard,0.6886225384244693
13,4,standard,0.7083516742292786
13,4,hard,0.4847783691225987
13,5,standard,0.7044984867906339
13,5,hard,0.6951064558741545
14,1,standard,0.8084729217617729
14,1,hard,0.6709655701207426
14,2,standard,0.7470751573879886
14,2,hard,0.6339637208268732
14,3,standard,0.6615356963314462
14,3,hard,0.6008890013255241
14,4,standard,0.8186493601936168
14,4,hard,0.7636646746361991
14,5,standard,0.6994456965030217
14,5,hard,0.6749529053835639
15,1,standard,0.7703733227524113
15,1,hard,0.6578422249285506
15,2,standard,0.7232940651667704
15,2,hard,0.6116555878051224
15,3,standard,0.7335635403520401
15,3,hard,0.7355326773421361
15,4,standard,0.8383171744892787
15,4,hard,0.5196177399501151
15,5,standard,0.7703112087383625
15,5,hard,0.7408724617108116
16,1,standard,0.6555541117498435
16,1,hard,0.5051597585503916
16,2,standard,0.6621295047010982
16,2,hard,0.5710719952956931
16,3,standard,0.8287593692695141
16,3,hard,0.5201403568295707
16,4,standard,0.770663765431554
16,4,hard,0.3499312376115178
16,5,standard,0.7631957323800275
16,5,hard,0.3749691697983248
17,1,standard,0.7892812243301973
17,1,hard,0.48473410752360957
17,2,standard,0.7607503669624907
17,2,hard,0.521534841087952
17,3,standard,0.6980999696791532
17,3,hard,0.64398533224732
17,4,standard,0.7852052475255171
17,4,hard,0.5770897499988954
17,5,standard,0.7434698689309934
17,5,hard,0.6134702382687052
18,1,standard,0.8121716029141041
18,1,hard,0.7070310971887487
18,2,standard,0.7999881773440339
18,2,hard,0.6960510052766817
18,3,standard,0.7593535518061268
18,3,hard,0.7205337858217254
18,4,standard,0.7988490840646367
18,4,hard,0.6107713150581122
18,5,standard,0.8236296184758144
18,5,hard,0.70381242791524
19,1,standard,0.7920683214520099
19,1,hard,0.7328882066722486
19,2,standard,0.7930886838864722
19,2,hard,0.6172883916405578
19,3,standard,0.7089519326598273
19,3,hard,0.4828622165094972
19,4,standard,0.670726775952887
19,4,hard,0.7188798382377934
19,5,standard,0.7757100278764852
19,5,hard,0.6125191270850898
20,1,standard,0.7020209123840422
20,1,hard,0.5325108061310525
20,2,standard,0.7124686519922853
20,2,hard,0.4974318457542541
20,3,standard,0.7640778186206695
20,3,hard,0.48888283005842
20,4,standard,0.741415664221663
20,4,hard,0.6301188338635474
20,5,standard,0.5657330578969688
20,5,hard,0.5826537035209352
21,1,standard,0.6394419314279837
21,1,hard,0.6087014521641256
21,2,standard,0.6097083476903302
21,2,hard,0.5914655499591801
21,3,standard,0.6312807909970731
21,3,hard,0.6444885973009292
21,4,standard,0.7625109331367602
21,4,hard,0.5360621258728137
21,5,standard,0.6865690656414378
21,5,hard,0.587291725248255
22,1,standard,0.7075512064447192
22,1,hard,0.5401765819631676
22,2,standard,0.6623034307404205
22,2,hard,0.43983897505639263
22,3,standard,0.507097272294579
22,3,hard,0.5246143742412125
22,4,standard,0.4765004203641342
22,4,hard,0.46363378618728707
22,5,standard,0.5496314653916091
22,5,hard,0.4984153770618425
23,1,standard,0.6727293702933009
23,1,hard,0.5042289665373658
23,2,standard,0.5847786319697419
